# word|romaji|meaning|category|level|usage note|example Japanese|romaji|German|second Japanese|romaji|German|related
ゆっくり|yukkuri|langsam; mit ausreichend Zeit|Bewegung|N5|ゆっくり歩く・休む。Kann ein langsames Tempo oder ungestörte Zeit meinen; じっくり betont Sorgfalt.|もう少しゆっくり話してください。|Mou sukoshi yukkuri hanashite kudasai.|Bitte sprechen Sie etwas langsamer.|今日は家でゆっくり休みます。|Kyou wa ie de yukkuri yasumimasu.|Heute ruhe ich mich zu Hause in aller Ruhe aus.|じっくり,のんびり
のんびり|nonbiri|gemütlich; gelassen und ohne Eile|Zustände|N4|のんびりする・のんびりした性格。Entspanntheit; のろのろ bewertet Langsamkeit meist negativ.|休みの日は公園でのんびりする。|Yasumi no hi wa kouen de nonbiri suru.|An freien Tagen entspanne ich mich gemütlich im Park.|兄はのんびりした性格で、あまり慌てない。|Ani wa nonbiri shita seikaku de, amari awatenai.|Mein älterer Bruder ist gelassen und gerät selten in Hektik.|ゆったり,ノロノロ
しっとり|shittori|angenehm feucht; ruhig und gediegen|Zustände|N3|しっとりした肌・ケーキ。Angenehme Feuchtigkeit; びしょびしょ bedeutet dagegen durchnässt.|このケーキはしっとりしている。|Kono keeki wa shittori shite iru.|Dieser Kuchen ist angenehm saftig.|雨にぬれた庭がしっとりと落ち着いて見える。|Ame ni nureta niwa ga shittori to ochitsuite mieru.|Der regennasse Garten wirkt ruhig und stimmungsvoll.|パサパサ,ビショビショ
ふんわり|funwari|weich und luftig; sanft schwebend|Zustände|N3|ふんわり焼く・ふんわりした。ふわふわ beschreibt oft einen anhaltenden Zustand; ふんわり den sanften Gesamteindruck.|卵を入れるとパンがふんわり焼ける。|Tamago o ireru to pan ga funwari yakeru.|Mit Ei wird das Brot beim Backen schön luftig.|風が吹いて、スカートがふんわり広がった。|Kaze ga fuite, sukaato ga funwari hirogatta.|Im Wind bauschte sich der Rock sanft auf.|フワフワ,ふかふか
ほくほく|hokuhoku|locker und mehlig-warm; hochzufrieden|Zustände|N2|ほくほくした芋。Bei Freude: ほくほく顔; nicht einfach ein Synonym für heiß.|焼き芋は中までほくほくしている。|Yakiimo wa naka made hokuhoku shite iru.|Die gebackene Süßkartoffel ist innen schön locker und mehlig.|臨時収入があって、父はほくほく顔だ。|Rinji shuunyuu ga atte, chichi wa hokuhokugao da.|Mein Vater strahlt über seine unerwarteten Einnahmen.|ホカホカ,ニンマリ
ぷるぷる|purupuru|weich wackelnd; zitternd|Zustände|N3|ぷるぷるしたゼリー・ぷるぷる震える。Bei Speisen weich und elastisch, beim Körper feines Zittern.|皿の上でゼリーがぷるぷる揺れている。|Sara no ue de zerii ga purupuru yurete iru.|Das Gelee wackelt auf dem Teller.|重い箱を持つ腕がぷるぷる震えた。|Omoi hako o motsu ude ga purupuru furueta.|Meine Arme zitterten beim Tragen der schweren Kiste.|プニプニ,ブルブル
ざらざら|zarazara|rau; körnig|Zustände|N3|ざらざらした表面・ざらざらする。Gegensatz: すべすべ für glatt auf der Haut.|この紙は表面がざらざらしている。|Kono kami wa hyoumen ga zarazara shite iru.|Dieses Papier hat eine raue Oberfläche.|靴の中に砂が入って、ざらざらする。|Kutsu no naka ni suna ga haitte, zarazara suru.|Sand im Schuh fühlt sich körnig und unangenehm an.|スベスベ,ゴツゴツ
きりきり|kirikiri|stechend-schneidender Schmerz; straff drehend|Zustände|N2|胃がきりきり痛む。Für scharfe Schmerzen; ずきずき beschreibt eher pochenden Schmerz.|緊張で胃がきりきり痛む。|Kinchou de i ga kirikiri itamu.|Vor Anspannung schmerzt mein Magen stechend.|弓の弦をきりきりと引き絞った。|Yumi no tsuru o kirikiri to hikishibotta.|Er spannte die Bogensehne straff bis zum Anschlag.|ズキズキ,ヒリヒリ
くらくら|kurakura|schwindelig; benommen|Zustände|N3|頭がくらくらする。ふらふら beschreibt zusätzlich unsicheres Gehen oder Schwanken.|急に立ち上がったら、頭がくらくらした。|Kyuu ni tachiagattara, atama ga kurakura shita.|Als ich plötzlich aufstand, wurde mir schwindelig.|強い日差しでくらくらして、日陰に座った。|Tsuyoi hizashi de kurakura shite, hikage ni suwatta.|Die starke Sonne machte mich benommen, und ich setzte mich in den Schatten.|フラフラ,ボーッと
しょんぼり|shonbori|niedergeschlagen; bedrückt|Gefühle|N3|しょんぼりする・しょんぼりした顔。Sichtbare Niedergeschlagenheit; がっかり betont die Enttäuschung.|試合に負けて、弟はしょんぼりしている。|Shiai ni makete, otouto wa shonbori shite iru.|Mein jüngerer Bruder ist nach der Niederlage niedergeschlagen.|しょんぼりした背中を見て、声をかけた。|Shonbori shita senaka o mite, koe o kaketa.|Als ich seine bedrückte Haltung sah, sprach ich ihn an.|ガッカリ,メソメソ
