# Original additional everyday contexts. Same columns as vocabulary-additions.tsv.
N5|風呂|ふろ|Bad; Badewanne|Nomen|Alltag|Im Alltag meist お風呂.|毎晩、お風呂に入ります。|Maiban, ofuro ni hairimasu.|Ich nehme jeden Abend ein Bad.|この部屋には風呂がありません。|Kono heya ni wa furo ga arimasen.|Dieses Zimmer hat kein Bad.
N5|縦|たて|Längsrichtung; vertikale Richtung|Nomen|Ort|Gegensatz 横; 縦に senkrecht oder längs.|紙を縦に半分に折ってください。|Kami o tate ni hanbun ni otte kudasai.|Falten Sie das Papier längs in der Mitte.|名前を縦に書きました。|Namae o tate ni kakimashita.|Ich habe den Namen senkrecht geschrieben.
N5|メートル|メートル|Meter|Nomen|Zahlen|Die Längeneinheit; im Alltag in Katakana.|この部屋は幅が三メートルあります。|Kono heya wa haba ga san meetoru arimasu.|Dieses Zimmer ist drei Meter breit.|百メートル先に駅があります。|Hyaku meetoru saki ni eki ga arimasu.|Hundert Meter weiter liegt ein Bahnhof.
N5|キロメートル|キロメートル|Kilometer|Nomen|Zahlen|Oft zu キロ verkürzt.|学校まで二キロメートルあります。|Gakkou made ni kiromeetoru arimasu.|Bis zur Schule sind es zwei Kilometer.|今日は五キロメートル歩きました。|Kyou wa go kiromeetoru arukimashita.|Heute bin ich fünf Kilometer gegangen.
N5|キログラム|キログラム|Kilogramm|Nomen|Zahlen|Oft zu キロ verkürzt; Kontext von Kilometern unterscheiden.|この荷物は十キログラムです。|Kono nimotsu wa juu kiroguramu desu.|Dieses Gepäck wiegt zehn Kilogramm.|米を二キログラム買いました。|Kome o ni kiroguramu kaimashita.|Ich habe zwei Kilogramm Reis gekauft.
N5|グラム|グラム|Gramm|Nomen|Zahlen|Die Gewichtseinheit.|肉を二百グラムください。|Niku o nihyaku guramu kudasai.|Ich hätte gern zweihundert Gramm Fleisch.|砂糖を五十グラム入れます。|Satou o gojuu guramu iremasu.|Ich gebe fünfzig Gramm Zucker hinzu.
N5|ワイシャツ|ワイシャツ|Oberhemd; Businesshemd|Nomen|Alltag|Auch Ｙシャツ; nicht zwingend weiß.|仕事にはワイシャツを着て行きます。|Shigoto ni wa waishatsu o kite ikimasu.|Zur Arbeit ziehe ich ein Hemd an.|ワイシャツにアイロンを掛けました。|Waishatsu ni airon o kakemashita.|Ich habe das Hemd gebügelt.
N5|テープ|テープ|Klebeband; Band|Nomen|Alltag|Je nach Kontext Klebe- oder Aufnahmeband.|テープで箱を閉じました。|Teepu de hako o tojimashita.|Ich habe die Kiste mit Klebeband verschlossen.|このテープはよく付きます。|Kono teepu wa yoku tsukimasu.|Dieses Klebeband hält gut.
N5|こちらこそ|こちらこそ|ganz meinerseits; ich habe zu danken|Ausdruck|Kommunikation|Erwidert einen Dank, eine Entschuldigung oder einen Gruß.|「よろしくお願いします。」「こちらこそ。」|Yoroshiku onegai shimasu. Kochira koso.|„Auf gute Zusammenarbeit.“ – „Ganz meinerseits.“|こちらこそ、ありがとうございました。|Kochira koso, arigatou gozaimashita.|Ich habe Ihnen zu danken.
N4|下宿|げしゅく|Unterkunft zur Untermiete; Kost und Logis|Nomen|Wohnen|Mit する; traditionell ein Zimmer in einem fremden Haushalt.|大学の近くで下宿しています。|Daigaku no chikaku de geshuku shite imasu.|Ich wohne in der Nähe der Universität zur Untermiete.|新しい下宿を探しています。|Atarashii geshuku o sagashite imasu.|Ich suche eine neue Unterkunft zur Untermiete.
N4|生命|せいめい|Leben; Lebenskraft|Nomen|Wissenschaft|Sachlicher oder wissenschaftlicher als 命.|水は生命に欠かせません。|Mizu wa seimei ni kakasemasen.|Wasser ist für das Leben unverzichtbar.|生命の始まりについて学びました。|Seimei no hajimari ni tsuite manabimashita.|Ich habe etwas über den Ursprung des Lebens gelernt.
N4|こう|こう|so; auf diese Weise|Adverb|Art und Weise|Verweist auf die gezeigte Art und Weise.|この道具はこう使います。|Kono dougu wa kou tsukaimasu.|Dieses Werkzeug benutzt man so.|私はこう考えています。|Watashi wa kou kangaete imasu.|Ich sehe die Sache so.
