# level|word|new contextual example|romaji|German|usage and contrast note
N3|条件|家賃が安いことを条件に、この部屋を選んだ。|Yachin ga yasui koto o jouken ni, kono heya o eranda.|Ich wählte dieses Zimmer unter der Voraussetzung einer niedrigen Miete.|条件 = Voraussetzung/Bedingung; 状況 = Gesamtsituation. Typisch: 条件を満たす、～を条件に。
N3|状況|道路の状況によって、到着時間が変わる。|Douro no joukyou ni yotte, touchaku jikan ga kawaru.|Die Ankunftszeit hängt von der Verkehrslage ab.|状況 beschreibt die Umstände; 状態 den Zustand einer Person oder Sache. Typisch: 状況を把握する。
N3|状態|冷蔵庫のドアが開いた状態になっていた。|Reizouko no doa ga aita joutai ni natte ita.|Die Kühlschranktür stand offen.|状態 beschreibt einen Zustand: 健康状態、～た状態。状況 bezieht sich auf die Gesamtlage.
N3|対策|暑さ対策として、窓に日よけを付けた。|Atsusa taisaku to shite, mado ni hiyoke o tsuketa.|Als Maßnahme gegen die Hitze brachte ich einen Sonnenschutz am Fenster an.|対策を立てる・対策を取る。Meist eine gezielte Maßnahme gegen ein Problem, nicht jeder beliebige Plan.
N3|責任|この仕事は最後まで責任を持ってやります。|Kono shigoto wa saigo made sekinin o motte yarimasu.|Ich werde diese Aufgabe bis zum Ende verantwortungsvoll erledigen.|責任を持つ = Verantwortung übernehmen; 責任を取る = für Folgen einstehen.
N3|制度|育児休暇の制度を利用して、三か月休んだ。|Ikuji kyuuka no seido o riyou shite, sankagetsu yasunda.|Ich nutzte die Elternzeitregelung und nahm drei Monate frei.|制度 bezeichnet eine institutionelle Regelung; 規則 einzelne Regeln. Typisch: 制度を導入する。
N3|傾向|疲れると甘い物を食べたくなる傾向がある。|Tsukareru to amai mono o tabetaku naru keikou ga aru.|Wenn ich müde bin, neige ich dazu, Süßes essen zu wollen.|～傾向がある = dazu neigen. Eine beobachtete Tendenz, keine ausnahmslose Regel.
N3|現象|空に光の輪が見える珍しい現象が起きた。|Sora ni hikari no wa ga mieru mezurashii genshou ga okita.|Es trat ein seltenes Phänomen auf: ein sichtbarer Lichtring am Himmel.|現象が起きる・現象が見られる。Bezeichnet eine beobachtbare Erscheinung, nicht ihre Ursache.
N3|範囲|無理のない範囲で運動を続けている。|Muri no nai han'i de undou o tsuzukete iru.|Ich treibe weiter Sport, soweit es ohne Überanstrengung möglich ist.|範囲内 = innerhalb eines Bereichs; ～の範囲で = im Rahmen von. Auch Zuständigkeits- und Wissensbereiche.
N3|基準|値段だけを基準にして商品を選ばない。|Nedan dake o kijun ni shite shouhin o erabanai.|Ich wähle Produkte nicht allein nach dem Preis aus.|基準 = Maßstab/Kriterium; 基本 = Grundlage. Typisch: 基準に従う、基準を満たす。
N3|基本|このソースを基本にして、好みの味に変えられる。|Kono soosu o kihon ni shite, konomi no aji ni kaerareru.|Mit dieser Soße als Grundlage lässt sich der Geschmack nach Wunsch verändern.|基本を身につける = die Grundlagen erlernen; 基本的に = grundsätzlich.
N3|過程|結果だけでなく、そこに至る過程も大切だ。|Kekka dake de naku, soko ni itaru katei mo taisetsu da.|Nicht nur das Ergebnis, auch der Weg dorthin ist wichtig.|過程 = Ablauf/Prozess; 段階 = einzelne Stufe darin. 同音: 家庭 = Haushalt/Familie.
N3|段階|この計画はまだ準備の段階にある。|Kono keikaku wa mada junbi no dankai ni aru.|Dieser Plan befindet sich noch in der Vorbereitungsphase.|～の段階で = in der Phase von; 段階的に = schrittweise.
N3|立場|親の立場から見ると、その決定には不安がある。|Oya no tachiba kara miru to, sono kettei ni wa fuan ga aru.|Aus Sicht der Eltern gibt diese Entscheidung Anlass zur Sorge.|立場 = Position/Perspektive, auch gesellschaftliche Stellung. Typisch: ～の立場に立つ。
N3|知識|本で得た知識を実際の仕事で使ってみた。|Hon de eta chishiki o jissai no shigoto de tsukatte mita.|Ich probierte aus, das Wissen aus Büchern bei der Arbeit anzuwenden.|知識を得る・知識を身につける。知恵 bezeichnet eher praktische Klugheit und Einfallsreichtum.
N3|価値|古い日記には、お金では測れない価値がある。|Furui nikki ni wa, okane de wa hakarenai kachi ga aru.|Das alte Tagebuch hat einen Wert, der sich nicht in Geld messen lässt.|価値 = Wert; 価格 = Preis. ～価値がある = es lohnt sich, etwas zu tun.
