# word|additional Japanese context|romaji|German|usage contrast
ザーザー|古いラジオからザーザーと雑音が聞こえる。|Furui rajio kara zaazaa to zatsuon ga kikoeru.|Aus dem alten Radio ist ein starkes Rauschen zu hören.|雨がザーザー降る und 雑音がザーザーする: anhaltendes Rauschen; シトシト ist leiser Regen.
シーン|質問しても返事がなく、会場はシーンとしていた。|Shitsumon shite mo henji ga naku, kaijou wa shiin to shite ita.|Auf die Frage kam keine Antwort; im Saal herrschte völlige Stille.|Gewöhnlich シーンとする. Absolute Stille, manchmal als unangenehme Reaktion auf eine Frage oder einen Witz.
ワンワン|迷子の子供がワンワン泣いていた。|Maigo no kodomo ga wanwan naite ita.|Das verirrte Kind weinte laut und hemmungslos.|犬がワンワン吠える = bellen; ワンワン泣く = laut weinen. Der Laut ist nicht auf Tiere beschränkt.
ペラペラ|秘密をペラペラ話してはいけない。|Himitsu o perapera hanashite wa ikenai.|Du darfst Geheimnisse nicht einfach ausplaudern.|日本語がペラペラ = fließend sprechen; ペラペラしゃべる kann unbedachtes Plaudern kritisieren.
ガリガリ|何日も食べられず、猫はガリガリに痩せていた。|Nannichi mo taberarezu, neko wa garigari ni yasete ita.|Nach Tagen ohne Futter war die Katze völlig abgemagert.|ガリガリ削る = kratzend abschaben; ガリガリに痩せる = knochendürr werden.
カラカラ|長く歩いて、喉がカラカラになった。|Nagaku aruite, nodo ga karakara ni natta.|Nach dem langen Marsch war meine Kehle völlig trocken.|喉がカラカラ = völlig trocken; カラカラ鳴る = trocken klappern. Kontext und Akzent können die Lesart unterscheiden.
パサパサ|焼きすぎて、魚の身がパサパサになった。|Yakisugite, sakana no mi ga pasapasa ni natta.|Durch zu langes Braten wurde das Fischfleisch trocken und bröselig.|パサパサの髪・パン。Unerwünschte Trockenheit; しっとり beschreibt angenehme Feuchtigkeit.
ネバネバ|のりが指について、ネバネバする。|Nori ga yubi ni tsuite, nebaneba suru.|Klebstoff an den Fingern fühlt sich zäh und klebrig an.|ネバネバした納豆・のり。Betont zähe Klebrigkeit, oft mit Fäden; ベタベタ eher klebrige Oberflächen.
ヌルヌル|石に藻が生えて、ヌルヌル滑る。|Ishi ni mo ga haete, nurunuru suberu.|Die Algen auf dem Stein machen ihn glitschig.|ヌルヌルした表面。Feucht-glitschig; スベスベ ist angenehm glatt und muss nicht nass sein.
スベスベ|よく磨いた木の表面がスベスベしている。|Yoku migaita ki no hyoumen ga subesube shite iru.|Die gut polierte Holzoberfläche fühlt sich glatt an.|スベスベの肌・表面。Angenehm glatt; ざらざら ist rau.
モチモチ|この麺はモチモチして、よくかむとおいしい。|Kono men wa mochimochi shite, yoku kamu to oishii.|Diese Nudeln sind angenehm elastisch und schmecken beim gründlichen Kauen besonders gut.|モチモチした食感。Weich-elastischer Biss; パリパリ ist dünn und brüchig-knusprig.
パリパリ|乾いた落ち葉を踏むと、パリパリと音がした。|Kawaita ochiba o fumu to, paripari to oto ga shita.|Beim Treten auf das trockene Laub knisterte es.|パリパリの海苔・パリパリ鳴る。Dünne trockene Dinge brechen mit einem knackigen Geräusch.
カリカリ|失敗するたびにカリカリしないで。|Shippai suru tabi ni karikari shinaide.|Reagiere nicht bei jedem Fehler so gereizt.|カリカリに焼く = knusprig braten; カリカリする = gereizt sein. Zwei deutlich verschiedene Verwendungen.
ワクワク|新しい仕事の話を聞いて、ワクワクしてきた。|Atarashii shigoto no hanashi o kiite, wakuwaku shite kita.|Beim Gespräch über die neue Arbeit bekam ich freudige Vorfreude.|ワクワクする = positive gespannte Erwartung; ドキドキ kann auch Angst oder Nervosität sein.
イライラ|画面がなかなか開かず、イライラした。|Gamen ga nakanaka hirakazu, iraira shita.|Die Seite öffnete sich nicht, und ich wurde ungeduldig.|イライラする・イライラさせる。Anhaltende Gereiztheit; カッとする ist ein plötzlicher Wutausbruch.
ニコニコ|祖母は子供たちの話をニコニコ聞いていた。|Sobo wa kodomotachi no hanashi o nikoniko kiite ita.|Meine Großmutter hörte den Kindern freundlich lächelnd zu.|ニコニコする = anhaltend freundlich lächeln; ニコッと = ein kurzes Lächeln.
ニヤニヤ|彼は秘密を知っているらしく、一人でニヤニヤしていた。|Kare wa himitsu o shitte iru rashiku, hitori de niyaniya shite ita.|Er kannte offenbar das Geheimnis und grinste vor sich hin.|ニヤニヤ ist oft verschmitzt, selbstgefällig oder unangenehm; ニコニコ wirkt gewöhnlich freundlich.
ブルブル|机の上で携帯電話がブルブル震えた。|Tsukue no ue de keitai denwa ga buruburu furueta.|Das Handy vibrierte auf dem Tisch.|ブルブル震える kann Kälte, Angst oder mechanische Vibration beschreiben.
ソワソワ|結果発表を待つ間、ソワソワして落ち着かなかった。|Kekka happyou o matsu aida, sowasowa shite ochitsukanakatta.|Beim Warten auf die Ergebnisse war ich unruhig und konnte mich nicht entspannen.|ソワソワする beschreibt sichtbare Unruhe; ワクワク betont freudige Erwartung.
スッキリ|机の上を片付けたら、部屋がスッキリした。|Tsukue no ue o katazuketara, heya ga sukkiri shita.|Nach dem Aufräumen des Schreibtischs wirkte das Zimmer ordentlich und frei.|頭・気分がスッキリする = klar/erleichtert sein; 部屋がスッキリする = aufgeräumt wirken.
ノロノロ|渋滞で車がノロノロ進んでいる。|Juutai de kuruma ga noronoro susunde iru.|Im Stau kommen die Autos nur im Schneckentempo voran.|ノロノロ ist meist negativ bewertete Langsamkeit. ゆっくり kann angenehm oder absichtlich langsam sein.
スラスラ|このペンなら、細い字もスラスラ書ける。|Kono pen nara, hosoi ji mo surasura kakeru.|Mit diesem Stift lassen sich selbst feine Schriftzeichen mühelos schreiben.|スラスラ話す・書く・解く。Eine Tätigkeit läuft ohne Stocken; ペラペラ ist stärker auf flüssiges Sprechen bezogen.
バタバタ|出発前は荷造りでバタバタしていた。|Shuppatsu mae wa nizukuri de batabata shite ita.|Vor der Abfahrt war ich mit dem Packen hektisch beschäftigt.|バタバタする = hektisch beschäftigt sein; バタバタ鳴る = flatternd/polternd Geräusche machen.
ウロウロ|出口が分からず、駅の中をウロウロした。|Deguchi ga wakarazu, eki no naka o urouro shita.|Ich fand den Ausgang nicht und irrte im Bahnhof umher.|場所をウロウロする。Zielloses Umhergehen; フラフラ betont oft unsichere Bewegung oder Schwindel.
ブラブラ|洗濯物が風でブラブラ揺れている。|Sentakumono ga kaze de burabura yurete iru.|Die Wäsche schwingt lose im Wind.|町をブラブラする = schlendern; ブラブラ揺れる = lose hin- und herschwingen.
ズキズキ|走るのをやめても、膝がズキズキ痛んだ。|Hashiru no o yamete mo, hiza ga zukizuki itanda.|Auch nachdem ich aufgehört hatte zu laufen, pochte der Schmerz im Knie weiter.|ズキズキ痛む = pochender Schmerz; キリキリ = schneidend-stechend; ヒリヒリ = brennend.
ヒリヒリ|日に焼けた肩がヒリヒリする。|Hi ni yaketa kata ga hirihiri suru.|Die sonnenverbrannten Schultern brennen.|皮膚・喉がヒリヒリする。Brennender, reizender Schmerz, oft an einer Oberfläche.
ジンジン|寒い外から戻ると、指先がジンジンした。|Samui soto kara modoru to, yubisaki ga jinjin shita.|Nach der Rückkehr aus der Kälte prickelten meine Fingerspitzen stark.|ジンジンする = anhaltend prickeln, taub pochen oder durchdringend schmerzen; genauer Kontext ist nötig.
