# Explicitly reviewed surface forms in the first example; no display-notation inference.
te-iru|読んでいます
koto-ga-dekiru|ことができます
ta-koto-ga-aru|たことがあります
ni-iku|に行きます
tari-tari|読んだりテレビを見たりします
sugiru|すぎました
te-connective|起きて
te-miru|てみて
te-shimau|てしまいました
i-adj-present|おもしろいです
na-adj-present|静かです
na-adj-negative|じゃないです
na-adj-past|でした
na-adj-past-negative|じゃなかったです
ku-naru-ni-naru|になりました
kamoshirenai|かもしれません
ga-aru|があります
ga-iru|がいます
mada|まだ
mou|もう
shika-nai|しかありません
ga-but|が
kara-because|から
nakereba-naranai|なければなりません
counters|三つ
no-wa-desu|のは
n4-rareru|褒められた
n4-saseru|食べさせた
n4-saserareru|食べさせられた
n4-potential|話せます
n4-tekuru|降ってきた
n4-teageru|てあげた
n4-temorau|手伝ってもらった
n4-tekureru|作ってくれた
n4-koto-ni-suru|ことにした
n4-koto-ni-naru|ことになりました
n4-you-ni-suru|ようにしています
n4-you-ni-naru|ようになりました
n4-hajimeru|始めた
n4-tsuzukeru|続けた
n4-owaru|終わりました
n4-sou-appearance|そうだ
n4-imperative|しろ
n4-adj-sugiru|すぎる
n4-ku-suru|明るくした
n4-garu|怖がっている
n4-yori|より
n4-ichiban|一番
n4-rashii-adj|らしい
n4-sou-hearsay|そうだ
n4-you-ni-purpose|ように
n4-shi|し
n4-tokoro-da|ところです
n4-to-conditional|と
n4-relative-clause|昨日買った
n4-koto-ga-aru|ことがある
n4-toka|とか
n4-hodo-nai|ほど暑くない
n4-tagaru|たがっている
n4-kakeru|かけ
n4-kiru|切った
n4-naosu|直して
n4-au|合っている
n4-koto-wa-ga|ことは食べたが
n4-sasete-morau|させてもらいます
n4-you-to-suru|ようとした
n4-tokini|時
n4-noni-purpose|のに
n4-te-sumu|ずにすんだ
n4-te-shimau-casual|ちゃった
n4-dasu|出した
n4-wasureru|忘れた
n4-souni-suru|ふりをした
n4-no-wa-da|のは
n3-nuku|抜いた
n3-te-naranai|でならない
n3-wari-ni|割に
n3-ppoi-negative|っぽい
n3-totan|たとたん
n3-sai-ni|際
n3-toori|とおりに
n3-ijou-wa|以上は
n3-ippou-de|一方で
n3-sae-ba|さえあれば
n3-keigo-sonkei|お帰りになりました
n3-keigo-kenjou|ご案内いたします
n3-toshite-mo|にしても
n3-koto-ni-natte-iru|ことになっている
n3-tewa-tewa|ては
n3-you-ni-to|ように言われた
n3-koto-ni-suru-2|ことにしている
n2-tabi-ni|たびに
n2-meku|めいてきた
