level	worker	selection	id	word	reading	contentHash	observation	fixed
N5	1	mechanical	vocab-n5:393	風邪	かぜ	002111eb67c08e8f206ada0ea7ead6b0581154b2b7ffc88f5eb9bb47b76fd83f	confirmed defect	yes
N5	2	mechanical	vocab-n5:477	止める	とめる	19e77dc06c44263f75906b63359676e0bdc01142809ebec9589e5ca3e22e4f19	confirmed defect	no
N5	3	mechanical	vocab-n5:465	光る	ひかる	a4e0c757bdee72c32009fe2f1de601216a2c666ca5c6ac40c5770ed25d09098d	confirmed defect	yes
N5	1	mechanical	vocab-n5:502	大切	たいせつ	3a98a1e0e31160077335b2000f310ed98fb1a41739903a8a8888fc403a861141	confirmed defect	yes
N5	2	mechanical	vocab-n5:622	最近	さいきん	2d515de00476ef25f446652e9714d9714d0ca83e884f26fe0b7bda9f2e458739	confirmed defect	yes
N5	3	mechanical	vocab-n5:595	おにぎり	おにぎり	3945e7c686eb38ae231b9646a59c4b2c07fb6d150c36d79b2f29612f0112da9a	confirmed defect	no
N5	1	mechanical	vocab-n5:504	簡単	かんたん	878485c57440f238214098d5476e72669029b46405d20a827500051f8425413a	confirmed defect	yes
N5	2	mechanical	vocab-n5:641	変わる	かわる	da5c2f69650a4be1205aee61732c0ac2ca703884a13e1b8c35991c13a6bd40d6	confirmed defect	yes
N5	3	mechanical	vocab-n5:636	片付ける	かたづける	3d0a62d7f42b0211c43dcebadca97d5c6eab010411dc48096b2bdd7007eefd3c	confirmed defect	yes
N5	1	mechanical	vocab-n5:698	従兄弟	いとこ	ac7767fd5bbaabc5f61c2d17276f209b258cc3e9d56432514d72e43dcf2220b6	confirmed defect	no
N5	2	deterministic-sample	vocab-n5:578	階段	かいだん	849c838d0e9adc56ab33fbdb3fc6aad537b7b2dc6179f9dbe79a181d21dc5255	no issue observed	no
N5	3	deterministic-sample	vocab-n5:487	見える	みえる	82b68cba6ebec460f351ce649570172d73ee026e5a8003fd10d25b4515d9e932	no issue observed	no
N5	1	deterministic-sample	vocab-n5:1122	〜分	ふん	fd7c0e4d1c2a37c6323786b8ecac7714d37e5d2c924de63911c3501719db10ad	uncertain	no
N5	2	deterministic-sample	vocab-n5:939	何千	なんぜん	3c44703cd3b0f3f3105d179d8eda6d9e5ca58df06385ef5eb2778c80d670536d	confirmed defect	yes
N5	3	deterministic-sample	vocab-n5:1462	グラム	グラム	2f046332d692f622140720b9ea039b5aa5ec6e82b2a5e192003c81c679e2facf	no issue observed	no
N5	1	deterministic-sample	vocab-n5:1004	羊毛	ようもう	88a0f6bdee723c7d978ac17dbd17475fed0798ebd8ff70168e48caf98af03220	confirmed defect	yes
N5	2	deterministic-sample	idioms:258	時間がかかる	じかんがかかる	88a74631c652bffc35a336134f007fa52b1708adba838cc80075c398aba739d8	uncertain	no
N5	3	deterministic-sample	vocab-n5:1209	名物	めいぶつ	b7ef214aa7cff564c58e8ce329fac08f84b5647c3b257e4c1f3e1129b46a34f9	no issue observed	no
N5	1	deterministic-sample	vocab-n5:1047	他の人	ほかのひと	3b8e109b22a3bcde2fed22db71b6419488957e0c7ac4450f3bf3bded14e4921b	no issue observed	no
N5	2	deterministic-sample	vocab-n5:1223	勝者	しょうしゃ	b98791663ad5f0192a50d389732f830ae25e783867574992d205096a038d1aa4	no issue observed	no
N4	3	mechanical	vocab-n4:1361	文句する	もんくする	582d842734b9e67a3ca0f9988288ffde9c86901f980ddca115a656216f0a9c36	confirmed defect	yes
N4	1	mechanical	vocab-n4:521	昇進	しょうしん	6cda743bde7cb5b7cfc2721b4e2ef045119061872d09d93c3ef0c05114ef36e2	confirmed defect	yes
N4	2	mechanical	vocab-n4:571	こどもの日	こどものひ	3871ceae115a6e4aa090268babff53d87bee2c8dc43deee71ba08081d91003d3	confirmed defect	no
N4	3	mechanical	vocab-n4:323	案	あん	2e3ae7bbdbc007280720214311ed6d75b982f5b90941eeeb5265aa7c421e1575	confirmed defect	yes
N4	1	mechanical	vocab-n4:576	わざわざ	わざわざ	46f76d7a999cfbb123f427e28f96f54971b5de978e161eb1a3e19087cb0a4fab	confirmed defect	yes
N4	2	mechanical	vocab-n4:437	引き分け	ひきわけ	220248c73f943f6ef10a55aa9890454632e3a484cde826dd66ab957ee02c1611	confirmed defect	yes
N4	3	mechanical	vocab-n4:244	桜	さくら	091538889cffb2234d2ab55de521621b37fadb66ae3c96c8b12c059f696dfa18	confirmed defect	yes
N4	1	mechanical	vocab-n4:148	番組	ばんぐみ	432b896457c7ac5dc76428e17c4a75355016a58a6f71fc979a6b23fec51bc7d5	confirmed defect	yes
N4	2	mechanical	vocab-n4:72	特に	とくに	1659a7782dc990a3a8266dc56b64fa053d3e2f879e366aa795c44b21f96d0ebd	confirmed defect	yes
N4	3	mechanical	vocab-n4:311	さっき	さっき	007dd2863a08da0b90c998be02ccd43bb7c1175a5cb9eae91b094b0a007d92b9	confirmed defect	yes
N4	1	deterministic-sample	vocab-n4:8	注意	ちゅうい	f405c79ecd18dcfa28c5ebd80df9192a8ab67b3e851804dddbef8b10d589c2e0	no issue observed	no
N4	2	deterministic-sample	vocab-n4:614	しぶしぶ	しぶしぶ	c8873c438c2df5d9a30d594668fdf82b76993b8b370f399416100081bf81dba2	no issue observed	no
N4	3	deterministic-sample	vocab-n2:773	決して	けっして	35b425e1192b50a95fc0153e366fdcbff849596c31b0ddcfee7529649e477617	no issue observed	no
N4	1	deterministic-sample	vocab-n3:2274	事務所	じむしょ	c9460c6bf275ca112f9be6af96e22e275f6fbabf317d6b0581564e169a32db25	no issue observed	no
N4	2	deterministic-sample	vocab-n4:832	集まり	あつまり	abcec7d9da9bdbc4ab0e8aa8a72ba60548402bce6a6aad7827f78c397f64089f	no issue observed	no
N4	3	deterministic-sample	vocab-n4:460	取り替える	とりかえる	c9a7b3c01525fb4e04449ab23539ac1d65e1c29467010e697690dc1a9185afef	confirmed defect	yes
N4	1	deterministic-sample	vocab-n4:645	甘やかす	あまやかす	a597612883fa4a16af3175dc2ebbe3fbbd3384e44b38b8f3d67437e194b68088	no issue observed	no
N4	2	deterministic-sample	vocab-n4:1394	新聞社	しんぶんしゃ	d55f52857625080c1e89f701c4ba0357334ae72f7e19f3849ad6164bb39e9603	no issue observed	no
N4	3	deterministic-sample	vocab-n4:240	田舎	いなか	d59568fef518b692a53607553e7dd4c037a2783ec32977d23ad8499bf1bc4903	no issue observed	no
N4	1	deterministic-sample	idioms:289	手がかかる	てがかかる	b01c4faee52343b85b87178cb8cbb78fddeddc1a4c70c3f1aa2a38a45b86e2a3	no issue observed	no
N3	2	deterministic-sample	vocab-n3:2587	獣医	じゅうい	d2ca9099d35435e5d01fea0e04b734e8716c8b683fc84b0bab89b65c15a0ab12	confirmed defect	yes
N3	3	deterministic-sample	vocab-n3:2870	一覧	いちらん	ab92a9bff6cee7a1427c572cb3eddae4bb6340742498a14f987d8cec76b6cad8	no issue observed	no
N3	1	deterministic-sample	vocab-n3:2863	太陽系	たいようけい	3f220063974f07bfb7ef693a49cba21248dc6b0ef055cbb0f6c315d9c4273c00	no issue observed	no
N3	2	deterministic-sample	vocab-n3:2295	実感	じっかん	ecb49ee132d4e5e35a936a7bc2b4117a0a71f0feadf0c2df927408fd03015bdc	uncertain	no
N3	3	deterministic-sample	vocab-n3:1606	蟻	あり	449b533fd88cf9c73e560b3182efcdb7c1882d4edb3409a80c7711b1f4e34a97	no issue observed	no
N3	1	deterministic-sample	vocab-n3:3045	年次	ねんじ	2c4a7e3dcd907435821e734239e8647192eeb55a7281d6ffe25fded2e7249e12	uncertain	no
N3	2	deterministic-sample	vocab-n3:3018	厳禁	げんきん	266e16530dc5cca6f0502372be7f2c489116e62d69b5cba49057ab045b1411b2	no issue observed	no
N3	3	deterministic-sample	vocab-n3:3250	読書	どくしょ	beb057168c7285e284a1aecd5b36fcee48e81035412a28a11c9a3d6250f45826	no issue observed	no
N3	1	deterministic-sample	vocab-n3:172	促進する	そくしんする	b7814bf8ef916fc21d02058214ef55c5a38261a49fdd7fa63fa6f2cfea5d6089	no issue observed	no
N3	2	deterministic-sample	vocab-n3:2423	加わる	くわわる	0d9a5c8dad68a09d746693fbceb880cbbc4985e04d153be4107732fe974ff95f	no issue observed	no
N3	3	deterministic-sample	vocab-n3:1226	処置	しょち	c160580a34f0877e2fbfcf2a699138d6dfdf3728a24047755ce327a9b7a034c7	no issue observed	no
N3	1	deterministic-sample	vocab-n3:1435	ご検討	ごけんとう	3933f08f1bf084e8d283765c14e9c04d45fc2cd8ebf3c3ed6ac9c09f0b7f99f7	no issue observed	no
N3	2	deterministic-sample	vocab-n3:1122	自己紹介	じこしょうかい	7de0eacb41156d93de7874c8a354a5a2f39fa6ee566310ca46e118be906bab90	no issue observed	no
N3	3	deterministic-sample	vocab-n3:972	感動	かんどう	6f42daf80aaaf12734a5227457e6a385161b16d4724b4dc9c1a123a751e10cc7	no issue observed	no
N3	1	deterministic-sample	vocab-n3:425	摂取	せっしゅ	fc74af836988fa59c886b2d2e9295548f36e213128ac54d2a3f44548c3435ffd	no issue observed	no
N3	2	deterministic-sample	vocab-n3:3242	高等	こうとう	c18c2e9071c2ed2e026d9ced5aaa54f121b3d0a15bf6f9eabe93c57938348f58	no issue observed	no
N3	3	deterministic-sample	vocab-n3:256	今後	こんご	2ac383f08e9503b5a9102675026a21e7b493494f40edef53e544e47287514efd	no issue observed	no
N3	1	deterministic-sample	vocab-n3:742	夢中	むちゅう	126cd42883b79cbe7d8e9fef8f4327d0f2deb65cfa30536c71c7210073f981d0	no issue observed	no
