# Original teaching content. level|word|reading|German meaning|type|category|usage notes|Japanese 1|romaji 1|German 1|Japanese 2|romaji 2|German 2|optional verb group
N5|父|ちち|mein Vater; der eigene Vater|Nomen|Familie|Über den eigenen Vater gegenüber Außenstehenden; als Anrede verwendet man meist お父さん.|父は東京に住んでいます。|Chichi wa Toukyou ni sunde imasu.|Mein Vater wohnt in Tokio.|きのう父と電話で話しました。|Kinou chichi to denwa de hanashimashita.|Gestern habe ich mit meinem Vater telefoniert.
N5|母|はは|meine Mutter; die eigene Mutter|Nomen|Familie|Über die eigene Mutter gegenüber Außenstehenden; als Anrede verwendet man meist お母さん.|母は学校で働いています。|Haha wa gakkou de hataraite imasu.|Meine Mutter arbeitet in einer Schule.|母に花をあげました。|Haha ni hana o agemashita.|Ich habe meiner Mutter Blumen geschenkt.
N5|兄|あに|mein älterer Bruder|Nomen|Familie|Für den eigenen älteren Bruder gegenüber Außenstehenden; お兄さん ist eine Anrede oder bezeichnet den Bruder einer anderen Person.|兄は大学生です。|Ani wa daigakusei desu.|Mein älterer Bruder ist Student.|日曜日に兄と映画を見ました。|Nichiyoubi ni ani to eiga o mimashita.|Am Sonntag habe ich mit meinem älteren Bruder einen Film gesehen.
N5|姉|あね|meine ältere Schwester|Nomen|Familie|Für die eigene ältere Schwester gegenüber Außenstehenden; als Anrede meist お姉さん.|姉は日本語を教えています。|Ane wa nihongo o oshiete imasu.|Meine ältere Schwester unterrichtet Japanisch.|姉から手紙が来ました。|Ane kara tegami ga kimashita.|Ich habe einen Brief von meiner älteren Schwester bekommen.
N5|両親|りょうしん|Eltern|Nomen|Familie|Bezeichnet Vater und Mutter zusammen; nicht mit 良心（りょうしん、Gewissen）verwechseln.|両親はドイツに住んでいます。|Ryoushin wa Doitsu ni sunde imasu.|Meine Eltern wohnen in Deutschland.|来月、両親に会います。|Raigetsu, ryoushin ni aimasu.|Nächsten Monat treffe ich meine Eltern.
N5|おじさん|おじさん|Onkel; Mann mittleren Alters|Nomen|Familie|Für einen Onkel: 伯父さん oder 叔父さん. Nicht mit おじいさん（Großvater）verwechseln.|おじさんは大阪に住んでいます。|Ojisan wa Oosaka ni sunde imasu.|Mein Onkel wohnt in Osaka.|おじさんに駅までの道を聞きました。|Ojisan ni eki made no michi o kikimashita.|Ich habe einen Mann nach dem Weg zum Bahnhof gefragt.
N5|おばさん|おばさん|Tante; Frau mittleren Alters|Nomen|Familie|Für eine Tante: 伯母さん oder 叔母さん. Die Anrede einer unbekannten Frau kann unhöflich wirken.|おばさんとお茶を飲みました。|Obasan to ocha o nomimashita.|Ich habe mit meiner Tante Tee getrunken.|おばさんから本をもらいました。|Obasan kara hon o moraimashita.|Ich habe von meiner Tante ein Buch bekommen.
N5|おじいさん|おじいさん|Großvater; älterer Mann|Nomen|Familie|Auch お祖父さん. Das lange い unterscheidet das Wort von おじさん（Onkel）.|おじいさんは毎朝、散歩します。|Ojiisan wa maiasa, sanpo shimasu.|Mein Großvater geht jeden Morgen spazieren.|あのおじいさんはとても元気です。|Ano ojiisan wa totemo genki desu.|Dieser ältere Mann ist sehr fit.
N5|青|あお|Blau; die Farbe Blau|Nomen|Farben|Farbnomen zu 青い; bei Ampeln bezeichnet 青 das grüne Signal.|好きな色は青です。|Suki na iro wa ao desu.|Meine Lieblingsfarbe ist Blau.|信号が青になりました。|Shingou ga ao ni narimashita.|Die Ampel ist grün geworden.
N5|赤|あか|Rot; die Farbe Rot|Nomen|Farben|Farbnomen; vor einem Nomen meist 赤い oder 赤の.|赤のペンを使ってください。|Aka no pen o tsukatte kudasai.|Bitte benutzen Sie den roten Stift.|信号は赤です。|Shingou wa aka desu.|Die Ampel ist rot.
N5|白|しろ|Weiß; die Farbe Weiß|Nomen|Farben|Nicht mit 城（しろ、Burg）verwechseln; das Adjektiv lautet 白い.|この紙は白です。|Kono kami wa shiro desu.|Dieses Papier ist weiß.|白のシャツを買いました。|Shiro no shatsu o kaimashita.|Ich habe ein weißes Hemd gekauft.
N5|黒|くろ|Schwarz; die Farbe Schwarz|Nomen|Farben|Farbnomen; das Adjektiv lautet 黒い.|好きな色は黒です。|Suki na iro wa kuro desu.|Meine Lieblingsfarbe ist Schwarz.|黒のかばんは私のです。|Kuro no kaban wa watashi no desu.|Die schwarze Tasche gehört mir.
N5|黄色い|きいろい|gelb|Adjektiv|Farben|い-Adjektiv; 黄色 ist das zugehörige Farbnomen.|黄色い花が咲いています。|Kiiroi hana ga saite imasu.|Gelbe Blumen blühen.|妹は黄色いかばんを持っています。|Imouto wa kiiroi kaban o motte imasu.|Meine jüngere Schwester hat eine gelbe Tasche.
N5|池|いけ|Teich|Nomen|Natur|Ein kleines stehendes Gewässer; 湖 bezeichnet einen See.|公園に小さな池があります。|Kouen ni chiisana ike ga arimasu.|Im Park gibt es einen kleinen Teich.|池に魚がいます。|Ike ni sakana ga imasu.|Im Teich sind Fische.
N5|北|きた|Norden|Nomen|Geographie|Als Richtung oft 北に oder 北へ; in Zusammensetzungen häufig ほく.|北海道は日本の北にあります。|Hokkaidou wa Nihon no kita ni arimasu.|Hokkaido liegt im Norden Japans.|駅から北へ歩いてください。|Eki kara kita e aruite kudasai.|Gehen Sie vom Bahnhof nach Norden.
N5|南|みなみ|Süden|Nomen|Geographie|Als Richtung oft 南に oder 南へ; in Zusammensetzungen häufig なん.|沖縄は日本の南にあります。|Okinawa wa Nihon no minami ni arimasu.|Okinawa liegt im Süden Japans.|部屋の窓は南を向いています。|Heya no mado wa minami o muite imasu.|Das Fenster des Zimmers zeigt nach Süden.
N5|東|ひがし|Osten|Nomen|Geographie|Die gewöhnliche eigenständige Lesung ist ひがし.|太陽は東から出ます。|Taiyou wa higashi kara demasu.|Die Sonne geht im Osten auf.|学校は駅の東にあります。|Gakkou wa eki no higashi ni arimasu.|Die Schule liegt östlich vom Bahnhof.
N5|西|にし|Westen|Nomen|Geographie|Die gewöhnliche eigenständige Lesung ist にし.|太陽は西に沈みます。|Taiyou wa nishi ni shizumimasu.|Die Sonne geht im Westen unter.|駅から西へ十分歩きます。|Eki kara nishi e juppun arukimasu.|Vom Bahnhof geht man zehn Minuten nach Westen.
N5|後|あと|danach; später; hinter|Nomen|Zeit|Zeitlich oft ～の後で; nicht jede Verwendung von 後 wird あと gelesen.|ご飯の後で薬を飲みます。|Gohan no ato de kusuri o nomimasu.|Ich nehme nach dem Essen Medizin.|後で電話します。|Ato de denwa shimasu.|Ich rufe später an.
N5|先|さき|zuvor; voraus; die Stelle weiter vorn|Nomen|Zeit|先に bedeutet vor jemand anderem oder zuerst.|先に帰ってもいいですか。|Saki ni kaette mo ii desu ka.|Darf ich schon vor den anderen nach Hause gehen?|この道の先に店があります。|Kono michi no saki ni mise ga arimasu.|Weiter vorn an dieser Straße ist ein Geschäft.
N5|次|つぎ|nächste; als Nächstes|Nomen|Zeit|Vor einem Nomen mit の: 次の電車.|次の電車は何時ですか。|Tsugi no densha wa nanji desu ka.|Um wie viel Uhr fährt der nächste Zug?|次は私が読みます。|Tsugi wa watashi ga yomimasu.|Als Nächstes lese ich.
N5|今晩|こんばん|heute Abend|Nomen|Zeit|Bezeichnet diesen Abend; こんばんは ist die Begrüßung.|今晩は家で食べます。|Konban wa ie de tabemasu.|Heute Abend esse ich zu Hause.|今晩、電話してもいいですか。|Konban, denwa shite mo ii desu ka.|Darf ich heute Abend anrufen?
N5|夕方|ゆうがた|später Nachmittag; früher Abend|Nomen|Zeit|Zeitspanne gegen Tagesende, bevor es ganz Nacht ist.|夕方、犬と散歩します。|Yuugata, inu to sanpo shimasu.|Am späten Nachmittag gehe ich mit dem Hund spazieren.|夕方までに帰ります。|Yuugata made ni kaerimasu.|Ich komme bis zum frühen Abend zurück.
N5|夕飯|ゆうはん|Abendessen|Nomen|Essen|Alltägliches Wort für die Abendmahlzeit.|夕飯は七時です。|Yuuhan wa shichiji desu.|Das Abendessen ist um sieben.|一緒に夕飯を作りませんか。|Issho ni yuuhan o tsukurimasen ka.|Wollen wir zusammen Abendessen kochen?
N5|晩|ばん|Abend|Nomen|Zeit|In Verbindungen wie 毎晩 und 朝から晩まで häufig.|朝から晩まで雨でした。|Asa kara ban made ame deshita.|Es regnete von morgens bis abends.|その晩は早く寝ました。|Sono ban wa hayaku nemashita.|An jenem Abend bin ich früh schlafen gegangen.
N5|時|とき|Zeit; Zeitpunkt; als; wenn|Nomen|Zeit|～時 bezeichnet einen Zeitpunkt oder eine Situation; Uhrzeiten verwenden die Lesung じ.|子供の時、東京に住んでいました。|Kodomo no toki, Toukyou ni sunde imashita.|Als Kind habe ich in Tokio gewohnt.|暇な時、本を読みます。|Hima na toki, hon o yomimasu.|Wenn ich Zeit habe, lese ich Bücher.
N5|話|はなし|Gespräch; Geschichte; Erzählung|Nomen|Kommunikation|Das Nomen hat kein し nach dem Kanji; das Verb lautet 話す.|先生の話を聞いてください。|Sensei no hanashi o kiite kudasai.|Bitte hören Sie zu, was die Lehrperson erzählt.|その話はおもしろいです。|Sono hanashi wa omoshiroi desu.|Diese Geschichte ist interessant.
N5|暇|ひま|freie Zeit; nicht beschäftigt|Adjektiv|Zeit|Als な-Adjektiv: 暇な日; als Nomen auch 暇がある.|日曜日は暇です。|Nichiyoubi wa hima desu.|Am Sonntag habe ich frei.|暇な時に来てください。|Hima na toki ni kite kudasai.|Kommen Sie bitte, wenn Sie Zeit haben.
N5|物|もの|Ding; Gegenstand|Nomen|Alltag|Meist konkrete Dinge; こと bezeichnet eher Sachverhalte oder Tätigkeiten.|重い物を持たないでください。|Omoi mono o motanaide kudasai.|Bitte tragen Sie keine schweren Gegenstände.|この箱には何か物が入っています。|Kono hako ni wa nanika mono ga haitte imasu.|In dieser Schachtel ist etwas drin.
N5|所|ところ|Ort; Stelle|Nomen|Ort|Sehr häufig auch in Hiragana: ところ.|静かな所で勉強したいです。|Shizuka na tokoro de benkyou shitai desu.|Ich möchte an einem ruhigen Ort lernen.|ここはどんな所ですか。|Koko wa donna tokoro desu ka.|Was für ein Ort ist das hier?
N5|辺|へん|Gegend; Umgebung|Nomen|Ort|この辺・その辺・あの辺 für eine ungefähre Gegend.|この辺に銀行はありますか。|Kono hen ni ginkou wa arimasu ka.|Gibt es hier in der Gegend eine Bank?|この辺で少し休みましょう。|Kono hen de sukoshi yasumimashou.|Machen wir hier in der Gegend eine kurze Pause.
N5|横|よこ|Seite; daneben; waagerechte Richtung|Nomen|Ort|～の横に bedeutet neben etwas.|銀行の横に本屋があります。|Ginkou no yoko ni hon'ya ga arimasu.|Neben der Bank ist eine Buchhandlung.|紙を横に置いてください。|Kami o yoko ni oite kudasai.|Legen Sie das Papier bitte quer hin.
N5|村|むら|Dorf|Nomen|Ort|Bezeichnet eine kleine Ortschaft.|祖母は小さな村に住んでいます。|Sobo wa chiisana mura ni sunde imasu.|Meine Großmutter wohnt in einem kleinen Dorf.|この村には駅がありません。|Kono mura ni wa eki ga arimasen.|Dieses Dorf hat keinen Bahnhof.
N5|門|もん|Tor|Nomen|Wohnen|Ein Eingangstor, etwa zu einer Schule oder einem Tempel.|学校の門の前で待っています。|Gakkou no mon no mae de matte imasu.|Ich warte vor dem Schultor.|夜は門を閉めます。|Yoru wa mon o shimemasu.|Nachts schließen wir das Tor.
N5|箱|はこ|Schachtel; Kiste|Nomen|Alltag|Für Behälter aus Papier, Holz oder anderen Materialien.|箱の中に本があります。|Hako no naka ni hon ga arimasu.|In der Kiste sind Bücher.|この箱を開けてください。|Kono hako o akete kudasai.|Bitte öffnen Sie diese Schachtel.
N5|上着|うわぎ|Jacke; Oberbekleidung|Nomen|Alltag|Ein Kleidungsstück über Hemd oder anderer Kleidung.|寒いので上着を着ます。|Samui node uwagi o kimasu.|Weil es kalt ist, ziehe ich eine Jacke an.|上着を椅子に掛けました。|Uwagi o isu ni kakemashita.|Ich habe die Jacke über den Stuhl gehängt.
N5|カレンダー|カレンダー|Kalender|Nomen|Alltag|Für den Kalender als Gegenstand oder Anzeige.|壁にカレンダーがあります。|Kabe ni karendaa ga arimasu.|An der Wand hängt ein Kalender.|カレンダーに休みの日を書きます。|Karendaa ni yasumi no hi o kakimasu.|Ich trage die freien Tage in den Kalender ein.
N5|シャワー|シャワー|Dusche|Nomen|Alltag|Eine Dusche nehmen: シャワーを浴びる.|朝、シャワーを浴びます。|Asa, shawaa o abimasu.|Morgens dusche ich.|この部屋にはシャワーがあります。|Kono heya ni wa shawaa ga arimasu.|Dieses Zimmer hat eine Dusche.
N5|テーブル|テーブル|Tisch|Nomen|Wohnen|Oft Esstisch; 机 wird häufig für einen Schreibtisch verwendet.|テーブルにお皿を置きます。|Teeburu ni osara o okimasu.|Ich stelle Teller auf den Tisch.|テーブルの下に猫がいます。|Teeburu no shita ni neko ga imasu.|Unter dem Tisch ist eine Katze.
N5|ボールペン|ボールペン|Kugelschreiber|Nomen|Alltag|Das Schreibgerät, im Gegensatz zu 鉛筆（Bleistift）.|ボールペンで名前を書いてください。|Boorupen de namae o kaite kudasai.|Bitte schreiben Sie Ihren Namen mit Kugelschreiber.|青いボールペンを買いました。|Aoi boorupen o kaimashita.|Ich habe einen blauen Kugelschreiber gekauft.
N5|カップ|カップ|Tasse; Becher|Nomen|Essen|Häufig für Kaffee oder andere Getränke.|カップにコーヒーを入れます。|Kappu ni koohii o iremasu.|Ich gieße Kaffee in die Tasse.|このカップは小さいです。|Kono kappu wa chiisai desu.|Diese Tasse ist klein.
N5|カレー|カレー|Curry; Currygericht|Nomen|Essen|In Japan oft Currysoße mit Reis.|昼ご飯にカレーを食べました。|Hirugohan ni karee o tabemashita.|Zum Mittagessen habe ich Curry gegessen.|このカレーはあまり辛くないです。|Kono karee wa amari karakunai desu.|Dieses Curry ist nicht besonders scharf.
N5|シャツ|シャツ|Hemd; Shirt|Nomen|Alltag|Anziehen: シャツを着る.|新しいシャツを着ています。|Atarashii shatsu o kite imasu.|Ich trage ein neues Hemd.|このシャツを洗ってください。|Kono shatsu o aratte kudasai.|Bitte waschen Sie dieses Hemd.
N5|スカート|スカート|Rock|Nomen|Alltag|Für dieses Kleidungsstück verwendet man 履く（はく）.|青いスカートを買いました。|Aoi sukaato o kaimashita.|Ich habe einen blauen Rock gekauft.|このスカートは少し長いです。|Kono sukaato wa sukoshi nagai desu.|Dieser Rock ist etwas lang.
N5|ズボン|ズボン|Hose|Nomen|Alltag|Eine Hose anziehen: ズボンを履く.|黒いズボンを履いています。|Kuroi zubon o haite imasu.|Ich trage eine schwarze Hose.|このズボンは大きすぎます。|Kono zubon wa ookisugimasu.|Diese Hose ist zu groß.
